# In this file is presented the temperature in function of the height 
# Height[m]  Temperature[K]
50000.000000 231.732892
49500.000000 232.833845
49000.000000 233.041674
48500.000000 233.444793
48000.000000 234.056584
47500.000000 234.886734
47000.000000 235.939973
46500.000000 237.214969
46000.000000 238.703494
45500.000000 240.389972
45000.000000 242.251466
44500.000000 244.258117
44000.000000 246.373989
43500.000000 248.558237
43000.000000 250.766489
42500.000000 252.952324
42000.000000 255.068756
41500.000000 257.069626
41000.000000 258.910865
40500.000000 260.551586
40000.000000 261.954996
39500.000000 263.089145
39000.000000 263.927506
38500.000000 264.449410
38000.000000 264.640361
37500.000000 264.492224
37000.000000 264.003322
36500.000000 263.178429
36000.000000 262.028667
35500.000000 260.571313
35000.000000 258.829498
34500.000000 256.831796
34000.000000 254.611691
33500.000000 252.206901
33000.000000 249.658566
32500.000000 247.010265
32000.000000 244.306893
31500.000000 241.593405
31000.000000 238.913452
30500.000000 236.307989
30000.000000 233.813924
29500.000000 231.462907
29000.000000 229.280361
28500.000000 227.284849
28000.000000 225.487842
27500.000000 223.893903
27000.000000 222.501268
26500.000000 221.302753
26000.000000 220.286871
25500.000000 219.439055
25000.000000 218.742870
24500.000000 218.181104
24000.000000 217.736703
23500.000000 217.393489
23000.000000 217.136675
22500.000000 216.953178
22000.000000 216.831780
21500.000000 216.763145
21000.000000 216.739754
20500.000000 216.682739
20000.000000 216.690252
19500.000000 216.808808
19000.000000 216.947555
18500.000000 217.108394
18000.000000 217.293438
17500.000000 217.505031
17000.000000 217.745765
16500.000000 218.018503
16000.000000 218.326398
15500.000000 218.672915
15000.000000 219.061854
14500.000000 219.497371
14000.000000 219.983996
13500.000000 220.526659
13000.000000 221.130702
12500.000000 221.801898
12000.000000 222.546463
11500.000000 223.371063
11000.000000 224.282818
10500.000000 225.289294
10000.000000 226.398499
9500.000000 227.618860
9000.000000 228.959195
8500.000000 230.428676
8000.000000 232.036785
7500.000000 233.793250
7000.000000 235.707986
6500.000000 237.791018
6000.000000 240.052399
5500.000000 242.502123
5000.000000 245.150038
4500.000000 248.005758
4000.000000 251.078571
3500.000000 254.377362
3000.000000 257.910535
2500.000000 261.685950
2000.000000 265.710864
1500.000000 269.991884
1000.000000 274.534937
500.000000 279.345233
0.000000 302.644875
